Chr	cM	Mb
1	0.0	3.482275
1	0.0	4.811062
1	0.895	5.008089
1	1.185	5.176058
1	2.081	5.579193
1	2.081	6.217921
1	2.367	6.820241
1	2.367	9.995925
1	3.263	11.073904
1	3.263	11.259432
1	3.549	11.505582
1	3.836	11.731387
1	3.836	12.71128
1	5.797	13.37307
1	5.797	13.697098
1	6.083	13.975252
1	6.083	14.464944
1	6.675	14.787217
1	6.675	14.977874
1	6.962	15.196882
1	6.962	15.444839
1	7.248	15.498263
1	7.248	15.801731
1	7.833	16.119466
1	7.833	16.714342
1	8.119	17.29796
1	8.406	18.158832
1	8.692	18.595689
1	8.692	18.911761
1	9.588	20.623897
1	9.874	20.774306
1	9.874	21.444366
1	10.459	21.628544
1	10.459	21.932521
1	11.679	22.158486
1	11.679	22.852171
1	13.959	23.151887
1	13.959	23.170315
1	14.855	23.822073
1	14.855	24.002964
1	15.141	24.071805
1	15.428	24.116167
1	15.428	25.284061
1	16.647	25.489364
1	18.928	25.632282
1	18.928	27.1713
1	19.823	27.321155
1	19.823	29.009415
1	20.11	29.231425
1	20.11	30.062211
1	20.396	30.767349
1	20.396	30.978257
1	20.981	31.714578
1	20.981	32.142824
1	23.262	32.555264
1	23.262	34.247473
1	23.548	34.593291
1	23.548	34.867216
1	23.835	35.595389
1	23.835	35.604985
1	24.42	36.052583
1	24.42	37.614782
1	26.331	38.079087
1	26.331	38.093584
1	27.226	38.451548
1	27.226	38.607246
1	27.513	39.053051
1	27.513	39.05313
1	29.424	39.578771
1	32.922	40.990937
1	32.922	41.151471
1	33.208	41.346975
1	33.208	41.674973
1	33.495	42.154658
1	33.495	42.216521
1	35.113	43.500859
1	35.399	43.506309
1	35.399	43.515732
1	35.984	43.799238
1	36.569	44.144843
1	36.569	45.504165
1	36.856	45.566203
1	36.856	46.92567
1	38.433	47.261016
1	38.433	51.301741
1	39.328	51.455542
1	39.328	53.068365
1	39.913	54.152566
1	39.913	54.502961
1	41.133	55.184322
1	41.419	57.882214
1	42.977	58.173263
1	42.977	58.439401
1	43.264	58.64367
1	44.882	59.435974
1	45.474	60.700972
1	45.474	61.44379
1	46.058	62.750755
1	47.293	63.198204
1	47.293	63.626131
1	47.58	63.930584
1	47.866	64.248013
1	47.866	65.09238
1	49.086	65.557818
1	49.086	65.98749
1	49.372	66.311419
1	49.372	66.461485
1	49.659	66.762986
1	49.659	67.823731
1	49.945	67.887875
1	50.232	67.89763
1	50.518	68.122012
1	50.518	68.809667
1	50.805	69.048453
1	50.805	69.302877
1	54.009	72.735306
1	54.009	73.020554
1	54.295	73.257785
1	54.582	73.273628
1	54.875	73.46473
1	54.875	73.785951
1	55.77	74.488135
1	55.77	74.948765
1	56.057	74.999391
1	56.343	75.480945
1	56.343	76.386669
1	61.486	79.802768
1	62.752	80.322429
1	62.752	80.719279
1	65.063	82.901013
1	65.063	83.335505
1	65.669	87.687978
1	65.669	89.100711
1	66.564	89.38621
1	66.851	89.812968
1	67.436	90.246344
1	67.436	91.918243
1	68.331	93.218893
1	68.618	93.549971
1	68.618	94.229305
1	70.553	94.608316
1	70.553	94.845961
1	70.84	94.909763
1	71.13	95.14808
1	71.13	95.514159
1	71.416	95.906062
1	71.703	95.933915
1	71.703	96.160362
1	71.993	96.419818
1	72.584	96.873866
1	72.584	99.682296
1	72.871	99.95865
1	72.871	100.443636
1	73.157	100.503508
1	73.444	100.689876
1	73.73	100.806653
1	73.73	101.469744
1	74.329	101.801485
1	74.329	105.621439
1	74.914	105.918404
1	74.914	106.14098
1	75.2	106.773458
1	75.2	107.242003
1	75.785	107.790531
1	75.785	108.029791
1	76.075	108.290874
1	76.362	108.527641
1	76.953	108.755357
1	77.24	109.384692
